feature,mean_abs_shap
V14,1.624997
V4,1.5623285
V1,0.63027525
V12,0.5994652
V8,0.5716843
V18,0.45146072
Amount,0.44929343
amount_log,0.4275194
V10,0.42586944
V3,0.40338415
Time,0.36486697
V11,0.3180443
hour_of_day,0.30969015
V24,0.2786206
V2,0.23797858
V27,0.23558098
V15,0.22333403
V22,0.21643467
V5,0.19928294
V25,0.19043475
V17,0.18247978
V26,0.17355208
V13,0.17101096
V19,0.16442768
is_high_value,0.14268614
V6,0.13921164
V7,0.13612941
V9,0.13570103
V16,0.13134146
V28,0.11964919
V20,0.106129125
V23,0.08956626
V21,0.0853775
